Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
bcb18e6ca2a8dd6fcddb06fbf080808d2908f4bb74a609474dae55fc294062ab,2012-07,South Wales Police,South Wales Police,-3.154300,51.488394,On or near BROADWAY,W01001698,Cardiff 036E,Investigation complete; no suspect identified
b882ffed5c863270f53ab219ea98a8d4ced9bdd0e2a2711e26e289027bfa5169,2012-07,South Wales Police,South Wales Police,-3.154300,51.488394,On or near BROADWAY,W01001698,Cardiff 036E,Investigation complete; no suspect identified
59f545f0040991de5f882ee607c69fd45ea3f8a82350ef598c7f88c2a4789dd7,2012-07,South Wales Police,South Wales Police,-3.952946,51.615072,On or near BURROWS ROAD,W01000749,Swansea 026A,Investigation complete; no suspect identified
4bb5d5418f0232889bd1e5a8b3dc7cfc52107233fe7e508641701283c7595374,2012-07,South Wales Police,South Wales Police,-4.014094,51.639308,On or near SWANSEA ROAD,W01000756,Swansea 017B,Investigation complete; no suspect identified
5e27a8fc5f069e1018c4a6169b82f2c2487cd1dc51a675b028cb7066a44327c1,2012-07,South Wales Police,South Wales Police,-3.148793,51.477307,On or near PORTMANMOOR ROAD,W01001873,Cardiff 038C,Investigation complete; no suspect identified
da1ca55c37992764024ffb2f041ad613fdb7fb774723c7bdb360bdc48a2c7d4d,2012-07,South Wales Police,South Wales Police,-3.184333,51.471810,On or near DINAS PLACE,W01001765,Cardiff 044B,Investigation complete; no suspect identified
8bca37bb180d74efa8181a27ce8261e0b93b5e11a49bfbd8df44bb7df343a566,2012-07,South Wales Police,South Wales Police,-3.409438,51.612895,On or near PORTH STREET,W01001232,Rhondda Cynon Taf 020D,Investigation complete; no suspect identified
1fba63ff5a9f67a9c1f85f29a7240e3d3a8f20ff588a9d3ca76dbf5285d5aef0,2012-07,South Wales Police,South Wales Police,-3.246174,51.479270,On or near VACHELL ROAD,W01001740,Cardiff 039D,Investigation complete; no suspect identified
e9c649b63521081ad7f1cefa80412cf48b6824babe2376a7fff12a71ffefe14f,2012-07,South Wales Police,South Wales Police,-3.776730,51.589295,On or near TALBOT ROAD,W01000951,Neath Port Talbot 018C,Investigation complete; no suspect identified
5f2ed5dbc48614c82169863c389b13ff9323bbb86e962ce4aa698d071928275f,2012-07,South Wales Police,South Wales Police,-3.168821,51.442301,On or near ST AUGUSTINE'S ROAD,W01001123,The Vale of Glamorgan 005B,Investigation complete; no suspect identified
c9ff00821c6e8388ec709610b8e38b6e1b7a94f1a280637ee3aff59d281432c4,2012-07,South Wales Police,South Wales Police,-3.440711,51.535004,On or near PARK VIEW,W01001189,Rhondda Cynon Taf 029C,Investigation complete; no suspect identified
8efc015e99b948c86df85edee7ce6473d85664d4dd1135c143951f04bc688229,2012-07,South Wales Police,South Wales Police,-3.206449,51.472366,On or near Petrol Station,W01001711,Cardiff 040C,Investigation complete; no suspect identified
301e9d4089be6f56c8a42795a703912f170c2f6cd0ec645e4666ee55232b31c3,2012-07,South Wales Police,South Wales Police,-3.939372,51.627006,On or near Pedestrian Subway,W01001955,Swansea 025F,Investigation complete; no suspect identified
0644922ed69b866720656ce15b423e92504216c8bf6769f8972442d6e405d403,2012-07,South Wales Police,South Wales Police,-3.241182,51.489529,On or near FAIRWATER GREEN,W01001752,Cardiff 031B,Investigation complete; no suspect identified
d51591511e939a2fa625dab2ccd9f344fbd3b16bd2c821705d3df8821eccc5ec,2012-07,South Wales Police,South Wales Police,-3.144370,51.521473,On or near BRYN CELYN ROAD,W01001811,Cardiff 009A,Investigation complete; no suspect identified
8ef5c3f0dfb616597f943238c945240645fb0103129bc737c5f79283eda945b0,2012-07,South Wales Police,South Wales Police,-3.333351,51.388732,On or near PENTIR Y DE,W01001119,The Vale of Glamorgan 003B,Investigation complete; no suspect identified
46d33942e24c18dc1fe8a7571a31583c857321f63678e7a7c66c45041c0f254c,2012-07,South Wales Police,South Wales Police,-3.945650,51.620094,On or near Parking Area,W01000745,Swansea 025B,Local resolution
fb1bc2a061ade52cd7aa810c705e60e2ff23bc8b09ef0a8a65d85e0cc51976bc,2012-07,South Wales Police,South Wales Police,-3.284589,51.399087,On or near MARKET STREET,W01001101,The Vale of Glamorgan 013E,Suspect charged
444ae9cc864922bfc34d8fae6ebbbfcfe6ae9ce076c81cfc3fe91a53554aa141,2012-07,South Wales Police,South Wales Police,-3.100449,51.525535,On or near ST ARVANS CRESCENT,W01001878,Cardiff 011B,Investigation complete; no suspect identified
43412b582dbbf06887bc422de12f164dd00bfc7c9c4b3e2535358eec452baac9,2012-07,South Wales Police,South Wales Police,-3.491199,51.653859,On or near REES PLACE,W01001215,Rhondda Cynon Taf 011C,Suspect charged
5c31bc76a8c5d25ac1ed0efd6785c614c15e692ce3c1cc9b445c26b63ae02588,2012-07,South Wales Police,South Wales Police,-3.460275,51.724339,On or near TREFELIN,W01001153,Rhondda Cynon Taf 002C,Suspect charged
7f57b2bfb19d591a8c148a565a986a9be1b2bc8f5460a96e6529e86f730c4478,2012-07,South Wales Police,South Wales Police,-3.452024,51.623562,On or near TREALAW ROAD,W01001260,Rhondda Cynon Taf 014C,Suspect charged
4f6a4b8b6bc97393821337b73809536e6a7d1141b08db15c8fbf0e277e3f6e5c,2012-07,South Wales Police,South Wales Police,-3.099615,51.523232,On or near WAKEHURST PLACE,W01001879,Cardiff 013A,Suspect charged
