Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context
,2013-01,South Wales Police,South Wales Police,-3.658828,51.634723,On or near Tudor Estate,W01000991,Bridgend 001A,Anti-social behaviour,,
,2013-01,South Wales Police,South Wales Police,-3.658828,51.634723,On or near Tudor Estate,W01000991,Bridgend 001A,Anti-social behaviour,,
,2013-01,South Wales Police,South Wales Police,-3.658828,51.634723,On or near Tudor Estate,W01000991,Bridgend 001A,Anti-social behaviour,,
,2013-01,South Wales Police,South Wales Police,-3.658207,51.633158,On or near Woodlands Terrace,W01000991,Bridgend 001A,Anti-social behaviour,,
,2013-01,South Wales Police,South Wales Police,-3.659680,51.639072,On or near Heol Ceulanydd,W01000991,Bridgend 001A,Anti-social behaviour,,
b44559bf907639f0861236e4ffac3758a64aff15c68b3a0affee2b6b19e357a1,2013-01,South Wales Police,South Wales Police,-3.658966,51.633363,On or near Dyffryn Road,W01000991,Bridgend 001A,Drugs,Under investigation,
56a5b41d30f66ea74be4f2705f06e06779d4a0fa9cc636c2f9839a96e7b1566e,2013-01,South Wales Police,South Wales Police,-3.658828,51.634723,On or near Tudor Estate,W01000991,Bridgend 001A,Other theft,Investigation complete; no suspect identified,
2f9de615bbccbb73a18cdc549c6800ff5847b144894e965b4368c798d9e73036,2013-01,South Wales Police,South Wales Police,-3.658207,51.633158,On or near Woodlands Terrace,W01000991,Bridgend 001A,Public disorder and weapons,Under investigation,
03fe7de07f3beede46bdc2a36b3fab67ab277a4c291d723dc44bfce20f764641,2013-01,South Wales Police,South Wales Police,-3.658103,51.640605,On or near Maes-Yr-Awel,W01000991,Bridgend 001A,Vehicle crime,Investigation complete; no suspect identified,
68461c0d2e23ddd747c9abd442222066540ceac9fa1052c43516f2afed7c42f0,2013-01,South Wales Police,South Wales Police,-3.658207,51.633158,On or near Woodlands Terrace,W01000991,Bridgend 001A,Vehicle crime,Offender sent to prison,
63218a9518308bb4553ed91786e54229c9423780122b3aecd436631909c5c533,2013-01,South Wales Police,South Wales Police,-3.658223,51.639129,On or near Hartshorn Terrace,W01000991,Bridgend 001A,Violent crime,Investigation complete; no suspect identified,
87d6a170f038117c5cc1806114b1265ac2e204367ee26020e3b3f01621ef523b,2013-01,South Wales Police,South Wales Police,-3.658966,51.633363,On or near Dyffryn Road,W01000991,Bridgend 001A,Violent crime,Offender sent to prison,
,2013-01,South Wales Police,South Wales Police,-3.655989,51.636130,On or near Dan-Y-Bryn,W01000992,Bridgend 001B,Anti-social behaviour,,
,2013-01,South Wales Police,South Wales Police,-3.648646,51.638850,On or near Alexandra Place,W01000992,Bridgend 001B,Anti-social behaviour,,
,2013-01,South Wales Police,South Wales Police,-3.655989,51.636130,On or near Dan-Y-Bryn,W01000992,Bridgend 001B,Anti-social behaviour,,
,2013-01,South Wales Police,South Wales Police,-3.647430,51.639191,On or near Brynglas Terrace,W01000992,Bridgend 001B,Anti-social behaviour,,
,2013-01,South Wales Police,South Wales Police,-3.653195,51.636790,On or near Treharne Road,W01000992,Bridgend 001B,Anti-social behaviour,,
,2013-01,South Wales Police,South Wales Police,-3.648646,51.638850,On or near Alexandra Place,W01000992,Bridgend 001B,Anti-social behaviour,,
,2013-01,South Wales Police,South Wales Police,-3.655647,51.637852,On or near Protheroe Street,W01000992,Bridgend 001B,Anti-social behaviour,,
,2013-01,South Wales Police,South Wales Police,-3.648646,51.638850,On or near Alexandra Place,W01000992,Bridgend 001B,Anti-social behaviour,,
63ed0fc710e0d7b1afdebd179a1ce9abe165768e8c25ef69a0c6ac462a02b8ed,2013-01,South Wales Police,South Wales Police,-3.646189,51.638857,On or near Blaencaerau Road,W01000992,Bridgend 001B,Burglary,Investigation complete; no suspect identified,
23dbf4f91603a5db722e1815a95e0148e033017cc534161aa284adc552c9d420,2013-01,South Wales Police,South Wales Police,-3.655989,51.636130,On or near Dan-Y-Bryn,W01000992,Bridgend 001B,Burglary,Investigation complete; no suspect identified,
798b2a09406511b213905272538791f62273000a33bca5d743fd19e5eb7965f7,2013-01,South Wales Police,South Wales Police,-3.652512,51.638274,On or near George Street,W01000992,Bridgend 001B,Criminal damage and arson,Under investigation,
b92fbb8ed35a3207d2c79b8e781aa43c63fa66855562edf30ef1f87694a6370e,2013-01,South Wales Police,South Wales Police,-3.652512,51.638274,On or near George Street,W01000992,Bridgend 001B,Criminal damage and arson,Investigation complete; no suspect identified,
83962fe40307b0c8fd15fe0b3d1122a101f575db97c149db526fd7ea488cc657,2013-01,South Wales Police,South Wales Police,-3.649318,51.638652,On or near Alexandra Road,W01000992,Bridgend 001B,Criminal damage and arson,Investigation complete; no suspect identified,
0ac2d3774fda9f82a55292348b220ff82c19c48b4d39124931d393675620fd68,2013-01,South Wales Police,South Wales Police,-3.648881,51.637363,On or near Railway Terrace,W01000992,Bridgend 001B,Drugs,Offender fined,
bf4049469168a0d043097f52a64549cdd0603dcca32bcef35f7cbddecf9109d9,2013-01,South Wales Police,South Wales Police,-3.647430,51.639191,On or near Brynglas Terrace,W01000992,Bridgend 001B,Drugs,Under investigation,
b300deb1a0758a4440b28321e3805d1bbfa61e0773f67b2037046b022ffc3c46,2013-01,South Wales Police,South Wales Police,-3.653195,51.636790,On or near Treharne Road,W01000992,Bridgend 001B,Drugs,Offender given community sentence,
822e8bbc963480de3e35cc486598829dcdeb043246cb98c8a3a15c55f324a1b6,2013-01,South Wales Police,South Wales Police,-3.648881,51.637363,On or near Railway Terrace,W01000992,Bridgend 001B,Drugs,Investigation complete; no suspect identified,
1dc70e8e3aad3b439278b7bc44d96a2d110b612972f977e5ae26e40c8ca66783,2013-01,South Wales Police,South Wales Police,-3.647430,51.639191,On or near Brynglas Terrace,W01000992,Bridgend 001B,Drugs,Offender fined,
a0e92536466bfd6202fb2ffa85976391960bcca519315d2ea2178a90085b5eeb,2013-01,South Wales Police,South Wales Police,-3.653195,51.636790,On or near Treharne Road,W01000992,Bridgend 001B,Other theft,Investigation complete; no suspect identified,
3c09ffe43a680f8c6f1fc7d2a8331b900fff27d0feee0313a7b162e9c594aaca,2013-01,South Wales Police,South Wales Police,-3.648394,51.637900,On or near Hamilton Terrace,W01000992,Bridgend 001B,Vehicle crime,Investigation complete; no suspect identified,
72b795e863660ef07217183ea0dde23d41d55920a0ea0a0676876f3bf0c35f5f,2013-01,South Wales Police,South Wales Police,-3.655647,51.637852,On or near Protheroe Street,W01000992,Bridgend 001B,Vehicle crime,Under investigation,
a7eca687051eb5347fb076691f17d0c722425bf6a0c1791fcbc0df080f8c0540,2013-01,South Wales Police,South Wales Police,-3.655989,51.636130,On or near Dan-Y-Bryn,W01000992,Bridgend 001B,Vehicle crime,Under investigation,
98c99fd6c71901feae69ac4471c3d0ae4d10fe01e61ac9595f3400d46074be8c,2013-01,South Wales Police,South Wales Police,-3.651795,51.636827,On or near Caerau Road,W01000992,Bridgend 001B,Violent crime,Investigation complete; no suspect identified,
086f776e997506ecad39ec9632fe603f7367273191bea812f32a8e1233b21c6d,2013-01,South Wales Police,South Wales Police,-3.648881,51.637363,On or near Railway Terrace,W01000992,Bridgend 001B,Violent crime,Offender given a caution,
1f805eedf86a26639ea35bbe73a8c768be4bcaaba1c380891153fa825452cd8f,2013-01,South Wales Police,South Wales Police,-3.655989,51.636130,On or near Dan-Y-Bryn,W01000992,Bridgend 001B,Violent crime,Investigation complete; no suspect identified,
