Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
141ab38118865db41e1449dc72fb7dd5137511cbb5bd13807316c9009f856ba2,2013-02,South Wales Police,South Wales Police,-3.148793,51.477307,On or near PORTMANMOOR ROAD,W01001873,Cardiff 038C,Investigation complete; no suspect identified
2ac62892538eb7545dcf356dce1f993ca41719ae2252b0f03c49dcfc0153f0f5,2013-02,South Wales Police,South Wales Police,-3.952946,51.615072,On or near BURROWS ROAD,W01000749,Swansea 026A,Investigation complete; no suspect identified
56938b33f7374d36b4e8ffd3b97adf64b16a6bb2d99387fdd09dc123a1530809,2013-02,South Wales Police,South Wales Police,-3.246174,51.479270,On or near VACHELL ROAD,W01001740,Cardiff 039D,Investigation complete; no suspect identified
1719c210873818917085c3557c5d303eb30d98afc9671b4935bce96e4b9856dd,2013-02,South Wales Police,South Wales Police,-3.154300,51.488394,On or near BROADWAY,W01001698,Cardiff 036E,Investigation complete; no suspect identified
081294db13cf8c08379479f8f8f98832474fdc293ee8dbc023ccc234423a31df,2013-02,South Wales Police,South Wales Police,-3.154300,51.488394,On or near BROADWAY,W01001698,Cardiff 036E,Investigation complete; no suspect identified
04ab6870f8dfa48b15b9290386db9ecd547b0eb0b891d4010486b71f8cd1c305,2013-02,South Wales Police,South Wales Police,-3.942443,51.641415,On or near PENTRE-TREHARNE ROAD,W01000789,Swansea 016E,Investigation complete; no suspect identified
1cba6c85225132d4ed653f08fd1f320c6f1871641a8c020f3ffe34df25c3b9c6,2013-02,South Wales Police,South Wales Police,-3.947538,51.636519,On or near COURTENAY STREET,W01000763,Swansea 015A,Suspect charged
3a976d98ac6232c0708a209612eb8cc24f07fc34baf4d9cee6a96e40329630dd,2013-02,South Wales Police,South Wales Police,-3.178312,51.496823,On or near ROBERT STREET,W01001718,Cardiff 028A,Investigation complete; no suspect identified
3162645be1795f846c5ba8a8ed4e99c5627fe0a89d648256b84ebbc5c714b4cc,2013-02,South Wales Police,South Wales Police,-3.793582,51.601889,On or near PENTYLA-BAGLAN ROAD,W01000889,Neath Port Talbot 015A,Investigation complete; no suspect identified
2aa3b875a3c7c58e37e3d8eb151707867e332ca6f0387477b2067306459e9e68,2013-02,South Wales Police,South Wales Police,-3.852365,51.722326,On or near JONES STREET,W01000948,Neath Port Talbot 004D,Investigation complete; no suspect identified
f10f5e9d33a9de1ecfe1a2ff0b740515dc8b63a2204c09d7b7e62bdc3faebd49,2013-02,South Wales Police,South Wales Police,-3.369924,51.672394,On or near PARK STREET,W01001209,Rhondda Cynon Taf 008A,Investigation complete; no suspect identified
40ce1b54c25619fb51f7b08b26156a079736c996c0b079f6d59798089e512fca,2013-02,South Wales Police,South Wales Police,-3.122496,51.516469,On or near FREMINGTON PLACE,W01001803,Cardiff 015A,Investigation complete; no suspect identified
bf7dabaa9132dba816b90cf0c526e73bed613e22ca8fa1578459ede144d1b9a1,2013-02,South Wales Police,South Wales Police,-3.200498,51.478254,On or near WALFORD PLACE,W01001857,Cardiff 042C,Investigation complete; no suspect identified
0fe3fc88a71e81fa23f9acc54a287538ad000828dc301a8e697f41296ca6363a,2013-02,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
1b2780866b8b2fca5be46540cfb53ad9fe01a1667e517d6cab6fce093bf630bb,2013-02,South Wales Police,South Wales Police,-3.793147,51.595241,On or near MARSH STREET,W01000886,Neath Port Talbot 017C,Investigation complete; no suspect identified
e2ae5fee78a4a42b8683a71681aadd243161863020ae81213dd4ec2c03f43395,2013-02,South Wales Police,South Wales Police,-3.377893,51.681931,On or near Parking Area,W01001208,Rhondda Cynon Taf 006E,Investigation complete; no suspect identified
8dbe9d10a97176161d27e7b40d8f539ab37373c94443d55765a9daf047372afe,2013-02,South Wales Police,South Wales Police,-3.186258,51.461656,On or near YORK PLACE,W01001762,Cardiff 046D,Investigation complete; no suspect identified
b92036030193f03ea8f76211aac4d2076372e6fb35b3d0e3bed3731e469d2b41,2013-02,South Wales Police,South Wales Police,-3.886813,51.653212,On or near RHYD-Y-GLYN,W01000798,Swansea 010C,Investigation complete; no suspect identified
d9a3796de1cee81309bb2c593ce60d6089a19f3973de1b196043834ffcba488a,2013-02,South Wales Police,South Wales Police,-3.803359,51.664190,On or near OLD MARKET STREET,W01000939,Neath Port Talbot 008D,Investigation complete; no suspect identified
63ed0fc710e0d7b1afdebd179a1ce9abe165768e8c25ef69a0c6ac462a02b8ed,2013-02,South Wales Police,South Wales Police,-3.646189,51.638857,On or near BLAENCAERAU ROAD,W01000992,Bridgend 001B,Investigation complete; no suspect identified
52758619b07512e6d6c19d947e5d167faa490e94e9145a6ba00949d236825592,2013-02,South Wales Police,South Wales Police,-3.575440,51.503391,On or near FREE SCHOOL COURT,W01001035,Bridgend 014E,Investigation complete; no suspect identified
a27d7ed312f281b1bf24daf570a007e843c41e3cd3eef1834614271e18e166d2,2013-02,South Wales Police,South Wales Police,-3.444779,51.714217,On or near DEAN STREET,W01001148,Rhondda Cynon Taf 002A,Investigation complete; no suspect identified
47c0530531650ba77055ac60d1cf68f052f44ab96234fc31c101243aa654f702,2013-02,South Wales Police,South Wales Police,-3.403177,51.610776,On or near B4278,W01001231,Rhondda Cynon Taf 017D,Investigation complete; no suspect identified
bf235f1453d72bc178ac54154a38dbb6e31769a309c258438e1c5a3541e04c75,2013-02,South Wales Police,South Wales Police,-3.348209,51.761672,On or near HIGH STREET,W01001297,Merthyr Tydfil 002C,Investigation complete; no suspect identified
67fa2d167427bf2a02ea53761fcf995f9e2ca1fce1454f62b85ee399dc9052c7,2013-02,South Wales Police,South Wales Police,-3.153786,51.489711,On or near RICHARDS TERRACE,W01001698,Cardiff 036E,Investigation complete; no suspect identified
b7bf1aea7721c32dae9edd240f289077e61c1a6521edd5beb495a3dd8eafad4c,2013-02,South Wales Police,South Wales Police,-3.185830,51.492341,On or near Further/Higher Educational Building,W01001721,Cardiff 032A,Investigation complete; no suspect identified
cb1e5cec3a61a9c7fe1a5e7650a6a2253e9adc3160b36d52f1dff6ad132458a6,2013-02,South Wales Police,South Wales Police,-3.249685,51.482857,On or near RED BRINK COURT,W01001739,Cardiff 039C,Investigation complete; no suspect identified
2cf3fb02b9595dfc3e6661799eb3f18741cfa3a9ae5be8d6cf09f796010df20a,2013-02,South Wales Police,South Wales Police,-3.165150,51.494760,On or near WELLFIELD PLACE,W01001831,Cardiff 030A,Investigation complete; no suspect identified
86e626fcf8f27dddbbb758365625dbe8f7e80f9dfcfcbde3401a1d954372dfb5,2013-02,South Wales Police,South Wales Police,-3.095915,51.528239,On or near CWRT PENTRE BACH,W01001878,Cardiff 011B,Investigation complete; no suspect identified
62f99147f78a33ab7d8e54af37cda3bc902896bb6956d5722f9cdb2168a5fecd,2013-02,South Wales Police,South Wales Police,-3.176767,51.488332,On or near SENGHENNYDD ROAD,W01001922,Cardiff 032E,Investigation complete; no suspect identified
3423cc08deb3bf63670db82f5b78143337cd5bb24189b2d95ec29f5c4a23e87b,2013-02,South Wales Police,South Wales Police,-3.789381,51.593824,On or near GREEN PARK STREET,W01000886,Neath Port Talbot 017C,Investigation complete; no suspect identified
61972162cee0b3edc18babcedb7f2171c9c645cb38a5f899321bc9aa9a3e2d90,2013-02,South Wales Police,South Wales Police,-3.831976,51.662785,On or near HILL ROAD,W01000922,Neath Port Talbot 007C,Investigation complete; no suspect identified
87a6ac92356960a2c03a7d9083922aa5a151de918e268ade38ec6541fa180344,2013-02,South Wales Police,South Wales Police,-3.660906,51.621601,On or near BARNARDO STREET,W01000995,Bridgend 001E,Investigation complete; no suspect identified
192ba7b270cc95e78deaa99d91c14b4b13c273d25c39b5863942d617e0e36180,2013-02,South Wales Police,South Wales Police,-3.578461,51.505328,On or near QUEEN STREET,W01001021,Bridgend 014A,Investigation complete; no suspect identified
76f701c99a6c1d4314323620f5556ee47afa097b458be7d60dd58858762fa01f,2013-02,South Wales Police,South Wales Police,-3.596878,51.546992,On or near Petrol Station,W01001058,Bridgend 006C,Investigation complete; no suspect identified
66bde8297b6cb58c0e21c9927209fb2cfe1a75eeb655921807d9ebff4ce8717f,2013-02,South Wales Police,South Wales Police,-3.379551,51.535065,On or near ASH WALK,W01001243,Rhondda Cynon Taf 030E,Investigation complete; no suspect identified
f4ba58726baab328e5574f6d2f63170e065bc9986bc9f0d6357ab9fc22cdeac5,2013-02,South Wales Police,South Wales Police,-3.335615,51.681026,On or near DARREN LAS,W01001303,Merthyr Tydfil 006C,Investigation complete; no suspect identified
c8038f4a657140965fc011ff9ef8e8389d563d8c8be5dd10e39b4b2a8e1e39bc,2013-02,South Wales Police,South Wales Police,-3.129319,51.533003,On or near LIDDEL CLOSE,W01001843,Cardiff 003C,Investigation complete; no suspect identified
6ce59368c1a025519c9f6b10f31dc258ec9dff814980c61ce1520e808a43d150,2013-02,South Wales Police,South Wales Police,-3.151149,51.483956,On or near BURNABY STREET,W01001872,Cardiff 038B,Investigation complete; no suspect identified
0dfff6eb152d7dcebdc07025f8603abf1a8777aaf9eba0e62fd091e93b235df5,2013-02,South Wales Police,South Wales Police,-3.143438,51.487169,On or near DALMUIR ROAD,W01001876,Cardiff 037D,Investigation complete; no suspect identified
7b76f506725283082b80270c066f43035188d6c2fd18fdcd42e7ac40b547462a,2013-02,South Wales Police,South Wales Police,-3.178678,51.478656,On or near Nightclub,W01001941,Cardiff 032G,Investigation complete; no suspect identified
ea48cfc459a1f375bd8396bfd0478a0d9dd4f51f0f7c8e28631445d5e99ba438,2013-02,South Wales Police,South Wales Police,-3.186306,51.458518,On or near Shopping Area,W01001947,Cardiff 048E,Investigation complete; no suspect identified
41a357bccc41ed347f57747807f2c12efbfb829b293d90880cd4f1b19f44fdc0,2013-02,South Wales Police,South Wales Police,-3.173712,51.473121,On or near CANAL PARADE,W01001952,Cardiff 049F,Investigation complete; no suspect identified
563be9a2cb9b290f56f3691a486e581dd0e30900d25c056593de282a515f89ba,2013-02,South Wales Police,South Wales Police,-3.944942,51.638343,On or near Parking Area,W01000763,Swansea 015A,Investigation complete; no suspect identified
a95bf15c7f8cc2bb13ed779eba765b4b0b1f032fa5fdd0efd695d89bd45b3774,2013-02,South Wales Police,South Wales Police,-3.949329,51.646939,On or near HOLLETT ROAD,W01000821,Swansea 009E,Investigation complete; no suspect identified
