Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
c825830b9a9d93ebc3fcf0d2abd9433f02f92d43f07ae7c66d80d26aac149737,2013-03,South Wales Police,South Wales Police,-3.968975,51.624318,On or near PANT-Y-CELYN ROAD,W01000867,Swansea 019F,Investigation complete; no suspect identified
2387e14eadb8c307d8b8de2744b3fc25393c9cb621497f879ade55bae0f0c95d,2013-03,South Wales Police,South Wales Police,-3.222312,51.484629,On or near FAIRFIELD AVENUE,W01001716,Cardiff 035C,Investigation complete; no suspect identified
52f7d38f9562f39ecc5963b24c08ce2532e990fa7c6cc2f032e034e4e58ff291,2013-03,South Wales Police,South Wales Police,-3.365945,51.757340,On or near DISTRICT STREET,W01001311,Merthyr Tydfil 002F,Investigation complete; no suspect identified
df46fb557bff83a74ec43b7e8be55ec2b64f10054c3a5fe87ca130f216cef89a,2013-03,South Wales Police,South Wales Police,-3.154300,51.488394,On or near BROADWAY,W01001698,Cardiff 036E,Investigation complete; no suspect identified
d3caadee39dc424f4608d5713da403a1c35f224729d8a46c0fe5f8f93eefa785,2013-03,South Wales Police,South Wales Police,-3.200830,51.533048,On or near MORRIS AVENUE,W01001953,Cardiff 005G,Investigation complete; no suspect identified
5171c45bbca18c4e32d039b1e4285cc739825cb9858fdc7529c66a1312965abf,2013-03,South Wales Police,South Wales Police,-3.148793,51.477307,On or near PORTMANMOOR ROAD,W01001873,Cardiff 038C,Investigation complete; no suspect identified
e0003bca09b7ce088eed2f8edddf31408d0df076c0753c0fa325db3a6da53274,2013-03,South Wales Police,South Wales Police,-3.810736,51.668258,On or near DYNEVOR AVENUE,W01000906,Neath Port Talbot 007A,Investigation complete; no suspect identified
811aa834e6c84fcfa7dec93cf0ad5d1660c323591c126d51fb48ed2533e911a0,2013-03,South Wales Police,South Wales Police,-3.154300,51.488394,On or near BROADWAY,W01001698,Cardiff 036E,Investigation complete; no suspect identified
618df0cd4a32bade857910a7556b117af8a3323efe2d1af341f1999700ae5207,2013-03,South Wales Police,South Wales Police,-3.154300,51.488394,On or near BROADWAY,W01001698,Cardiff 036E,Investigation complete; no suspect identified
5cff9b51bd6280259c3d41084e1b58d790fd3e1b921b7cd0ae034eb06777155d,2013-03,South Wales Police,South Wales Police,-3.246174,51.479270,On or near VACHELL ROAD,W01001740,Cardiff 039D,Investigation complete; no suspect identified
a3e77ae5ab7a949eee80803ba00b8647335ed11097a57c4341bafaf03c374535,2013-03,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
b3d234e22184853e174988370367b5ef345a61cfd41ca730aee81abe65b68690,2013-03,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
a6c46b20b48b72c04ff1300179d4beacdb9d4091446996f884a2082629db7281,2013-03,South Wales Police,South Wales Police,-3.939545,51.635483,On or near BOWEN STREET,W01000790,Swansea 016F,Suspect charged
3ec1ab61bed3595ddd505ea6f05b13f6749e0e79ba77a41bdda0053f8817cb08,2013-03,South Wales Police,South Wales Police,-3.181964,51.479872,On or near Parking Area,W01001939,Cardiff 032F,Suspect charged
308128889278282bb20ccab8f636c5b989b34f0a75b2578f67608981babe0f79,2013-03,South Wales Police,South Wales Police,-3.586518,51.618943,On or near TYMEINWR AVENUE,W01000978,Bridgend 004B,Investigation complete; no suspect identified
0a3dbcd4fcb47e9136d5d73fadd4c9c220c63bff1dc56d62edfc23b474145dfe,2013-03,South Wales Police,South Wales Police,-3.250380,51.471933,On or near CAERAU ROAD,W01001708,Cardiff 045D,Investigation complete; no suspect identified
be7036ad5840b5e84efc82eda911e3fa8e6da3a0f188880a8653ef846c9c99f4,2013-03,South Wales Police,South Wales Police,-3.206115,51.502304,On or near ABERTEIFI CRESCENT,W01001787,Cardiff 023C,Investigation complete; no suspect identified
3f87e8163a46557a576c1686c36ae26771c419608f09d63a0c2802a938577b1a,2013-03,South Wales Police,South Wales Police,-3.590873,51.511284,On or near ST JOHN'S ROAD,W01001026,Bridgend 012D,Investigation complete; no suspect identified
a6cbd7d6153d11508dfc06735b74b18f6b78e50fd5058a26bcb6245c2bc901a8,2013-03,South Wales Police,South Wales Police,-3.275468,51.407630,On or near WILLIAMS CRESCENT,W01001064,The Vale of Glamorgan 013B,Investigation complete; no suspect identified
41467ff31df2c23968cf70c3efef0a42853f99a80217ecaf4e9539684118327f,2013-03,South Wales Police,South Wales Police,-3.777519,51.591765,On or near BEVERLEY STREET,W01000951,Neath Port Talbot 018C,Investigation complete; no suspect identified
ff1d94098e8e9659ad217a10662fe6c73bcfa1cd7b6d74d9c8216aa31f0d054d,2013-03,South Wales Police,South Wales Police,-3.152571,51.489499,On or near BOOKER STREET,W01001698,Cardiff 036E,Investigation complete; no suspect identified
0147cce12e854e102cd19dd0eb06afa1dc3f6a8b1346ae7aba4384758894936f,2013-03,South Wales Police,South Wales Police,-3.967341,51.619265,On or near THE GROVE,W01000870,Swansea 024D,Investigation complete; no suspect identified
336daab990798406e9156e785834d86badecb0bf4f92aaa65ea090fee4c9e0ed,2013-03,South Wales Police,South Wales Police,-3.119847,51.529470,On or near CHAUCER CLOSE,W01001807,Cardiff 007B,Investigation complete; no suspect identified
0d5165016ab9a7335a54db96c3d5d8fc9acd1926617d96c7283159dd86f4df51,2013-03,South Wales Police,South Wales Police,-3.926062,51.644328,On or near Pedestrian Subway,W01000741,Swansea 014D,Investigation complete; no suspect identified
fbf66bf66c866da199e0eb60168d3333b8f0b3a2e10b11cc8002a7008e9b981d,2013-03,South Wales Police,South Wales Police,-3.663774,51.609574,On or near ALBERT TERRACE,W01001017,Bridgend 002C,Investigation complete; no suspect identified
0f630f23bdf2a0f872fc69cfe1f598c58d18b1428675429c5c4416ecfc512d49,2013-03,South Wales Police,South Wales Police,-3.153881,51.487184,On or near CECIL STREET,W01001697,Cardiff 036D,Investigation complete; no suspect identified
acd430866a3b12b2c5d86a24de21eaa9adb885d8eaec327bfde68537ea6e5b3c,2013-03,South Wales Police,South Wales Police,-3.119903,51.520594,On or near Supermarket,W01001802,Cardiff 007A,Investigation complete; no suspect identified
c0f1e4ede58e81697677f05f39dab1f513bdc240d4d44424677602482dff8b85,2013-03,South Wales Police,South Wales Police,-4.113132,51.642944,On or near WEST END,W01000829,Swansea 018C,Investigation complete; no suspect identified
c6141b32536ef8b6aa6cd55fca2e83393af0f18fed266c5d47601747843a726c,2013-03,South Wales Police,South Wales Police,-3.201944,51.479579,On or near MAJOR ROAD,W01001713,Cardiff 040E,Investigation complete; no suspect identified
