Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
21c803e3473a0626b5a5a702fdd4d28271b56b1bc553caaa612bf59c10da2dcd,2013-05,South Wales Police,South Wales Police,-3.388621,51.535111,On or near COWBRIDGE ROAD,W01001242,Rhondda Cynon Taf 030D,Investigation complete; no suspect identified
6cb0fb5e4c407ca8f3565757d383760530df54dac45a8e7bcafe54ad070aa64a,2013-05,South Wales Police,South Wales Police,-3.452653,51.622448,On or near FOUNDRY ROAD,W01001260,Rhondda Cynon Taf 014C,Investigation complete; no suspect identified
4ce27d17fc3495a6ecce53963bcc6cff7fc38e184d314965142b9b34cc379f5a,2013-05,South Wales Police,South Wales Police,-4.040549,51.716339,On or near TEDDINGTON PLACE,W01000846,Swansea 001B,Investigation complete; no suspect identified
5b1c88363f24da4aecf897d5ec00aca38f41cfa16b8d14d0576b640678ef19f8,2013-05,South Wales Police,South Wales Police,-3.176574,51.482498,On or near Shopping Area,W01001939,Cardiff 032F,Investigation complete; no suspect identified
eb340c639caec6f1c91e38ea5a3ee225b6a1deb7631e9df1cf7432043e3e1af9,2013-05,South Wales Police,South Wales Police,-3.443040,51.713231,On or near MARKET STREET,W01001150,Rhondda Cynon Taf 003B,Investigation complete; no suspect identified
1b5f8490684b820c68ca230a0c6906dd374abcd57547ae18fe929500a5500ec3,2013-05,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
7bf7a2c3e91a3cc44b307a91b999b6700e33919c0f1ea321099ba34e2564216d,2013-05,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
4e67b0f0706e4ea097a32dea8a7d978746fdcc1c03f8e75b967639bd517f5d78,2013-05,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
7937baab3a8f283670b811c94e687abe83fb293355991c802fdfeb2b8eda17dc,2013-05,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
a43c9d12248a2fdfb24085aaf3b508b9d2def89a211338cb8e4ddddfed78bab0,2013-05,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
989f43c54ee8bde12214a251bc576f87bb8d557ad6ebd42f4ebc5624924b0105,2013-05,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
126738e5dc6da19b14c955e8b227e2121f93bc1aa44a48affc84bca103d64779,2013-05,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
b2cb74b8a22e10c34359a8e49112bab61a5dbe71b36d1ceeba3429b01ae67080,2013-05,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
58802ba09256de6c0084ab9b03901dc00a78d9f52524412898a1ad929a3e4cb4,2013-05,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
65f5f43fef35bc2c8bf4ba9ab3aeedb253c679ed9e4726001641af4f6499d406,2013-05,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
9b28aa4adddd783ce99383fda1bd47e018e57b36fe8c1e1f943c4b4f3444db9f,2013-05,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
2514e0ab73f12528c4e915f7c7ed91f5bbe3fd16661bd3bbeadbbaccc52b406c,2013-05,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
cff9eb5dc86b8a91bdec65d3929fed282134fc2f85c2c6b5a503973d257ff200,2013-05,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
0052d6c5fd0015d4baedd2c3240beb91ab67bcbedaaa3b8cb4cfb8ea1d5a86bb,2013-05,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
64432056ca167cc510b91167fdc7d407214fb0e0fe948eed6b55af281d3cacbd,2013-05,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
b70307dce3ad0565244fd70442a1900c772e226506f51aacf52151a9dd15a4fb,2013-05,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
b251580350aafb72e82713fdb63b8a2253bf57dde4b001cc66ec55d1fa000a98,2013-05,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
2da778c833b8d59c4960a089b0b35f976ed424ca19aa7f33c951af331decc8b0,2013-05,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
4a251ef072589d145d367bf8d7c7e0266fd22247f3c65071c995f350e72b9b29,2013-05,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
6e5dddc473ad71b3302eb7573c347c8e67ff6f3716609dcc1a8243930f534d70,2013-05,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
c4faef0040d20def8f717e63f2292f9b3797bf790c0205435306b55351015f54,2013-05,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
29e1f94185fbbad22ba6c129ed488f801dcf4b80457de4a4e7b7a3191f8c7602,2013-05,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
c7e71762ff3f476d5bbd21747a7760ae196ed69cca389fbb64e8383c3cc4b46a,2013-05,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
92970c0e8425278fbc91554cdd584af65fe1d721916b499478a2113e198e1aa6,2013-05,South Wales Police,South Wales Police,,,No location,,,Suspect charged
2c745a91fefde8343e8132b83147c163707599ded7353d600a1552d452dc58f3,2013-05,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
