Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
0197f28743141d80c6e0cfb293c76c8c04583ad6641825d03014c42e1a96194c,2013-07,South Wales Police,South Wales Police,-3.816615,51.672789,On or near LLYS WERN,W01000905,Neath Port Talbot 006D,Suspect charged
b215ce5d896f2c62881f2f0928f886bc82f1db8bafb65f6ec93125bb9085e636,2013-07,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
2615e720737ad78aa4eda7564cf02abf1eafe7a776d4167b1e1f9c5f14af480c,2013-07,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
320d4d8d6ba56e881f4a9e2beb987fcc0b78784b398833489221a6925ae3b2bc,2013-07,South Wales Police,South Wales Police,-3.243216,51.469519,On or near A4232,W01001703,Cardiff 045B,Investigation complete; no suspect identified
51fbe823ee4a079583ad51be56652249ef8aef99e3db290863d819d6b52aba26,2013-07,South Wales Police,South Wales Police,-3.101710,51.523437,On or near BROCKHAMPTON ROAD,W01001879,Cardiff 013A,Investigation complete; no suspect identified
86700b345a41119e554963f63cc9f37c2857d3070d742088b3000dac7245c0cc,2013-07,South Wales Police,South Wales Police,,,No location,,,Suspect charged
3cb6aeefaf7623863e49d98948490897de9f0cd65a8371e26c163e06538da08d,2013-07,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
db73c1f9aad3692e6ac55c069fa0aecb239cbab311b962e49251cff9f5605d2e,2013-07,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
7733d69204b6d9a6799627f327bc5d0dd45cad5e41eaab5b9784ecc5c96bfeb0,2013-07,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
80a1616d6beb933b1b05141c5bb2fc2f2ac3bc4f1e831e7c4197e08d907bce41,2013-07,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
8c9bf0adf52b70bf7e2abef945453ad656270b5ca39af75b6283bf33d17b4936,2013-07,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
a7ffb07558ea84ebb41072e5a6be45c1b5eca9bd0f1837a0558ad1742edf864d,2013-07,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
7b5c009cbe710bd61b4204dcf41b0767bb80d6baccd94bf62edbc15e5324da2a,2013-07,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
