Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
dfa0686bd054114418dfcaa012ce6de7ebc19cb3151e469c37f43bd29e04f210,2013-10,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
9f1a641b4141054b31181d2cb39de903de26c53b11a77b1122c35cd06b82eaa0,2013-10,South Wales Police,South Wales Police,-3.401267,51.752617,On or near HEOL PARC MAEN,W01001292,Merthyr Tydfil 004A,Investigation complete; no suspect identified
a069f52018d3ec4ab41406156c9f00bab1dcc700e87ea65e469825f7e8e7a863,2013-10,South Wales Police,South Wales Police,-4.028382,51.714581,On or near CLOS PEN PANT,W01000848,Swansea 001D,Investigation complete; no suspect identified
d3fe4aad28ab881b4440d4afcb46d3d5fe89896fef15d356df4dbc1485b2ace9,2013-10,South Wales Police,South Wales Police,-3.541782,51.625357,On or near Parking Area,W01001024,Bridgend 003C,Investigation complete; no suspect identified
7abf6e12551e255998955a20d0fcf92922401e2158c5d302d0167c4ec245de7f,2013-10,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
b86c78906b5d124501882008d187186b2e26d300e61942627fdac88017b57590,2013-10,South Wales Police,South Wales Police,,,No location,,,Suspect charged
e17f3f6ab56b51e1f9d4a9e20d710d6cbd733804ec3eb4d69cab4e150edafa96,2013-10,South Wales Police,South Wales Police,,,No location,,,Suspect charged
01939554207c94922ac8235215ae04e8dd0ace44ba21a78d8981ab6782cd051c,2013-10,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
8431fe80ee51a9151bf6b073d938f70ce3f8af991e09743967a542de833a5a6c,2013-10,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
45d9638444cb1319a5bd696cbf4718cfa97a1591f915480d61906b2b3ff14927,2013-10,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
f6cbdca0f72f22a02db0d3a82d1aac6ec32b0cbf729aa46187130ee20489b91d,2013-10,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
045b6f4310abd825b945da139a83fb04747ada9d24640fdac4f43342bb35a228,2013-10,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
5d8661da2609b2c4ac1721defc80afaa6f20a06128bf6675930697918a75442c,2013-10,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
0729246f653bf6d87817da83616a08fcc4eee50ee84c3ee6186bfbd634f2d0c8,2013-10,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
16c027910750f8162f5800ebd1de210983857695c2f7dc09c994ce430e8204db,2013-10,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
c570ace178a74d744cbe918e67874b4c1a15214bddaa03e254daa32dd050f80b,2013-10,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
fef2e9da1b55b4ad4c7799cb00f9d7dee0cc69f8af5177c3360437d6eacc9675,2013-10,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
d7cc51d02fdad641d591e61afa989da3a9046eccefab4025f9471b08f51b6a8c,2013-10,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
7152d392add441d211e58712b7b439431ee619a91875bfc8897c1e9c14f5858d,2013-10,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
469d0bcec84bd3c02ee15de32d9321508ad8723efffb891fd1f732ed8529d82d,2013-10,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
dcccf4c49ea9786b1a36a4186bf18765853402b18ec6009c0b1207475f3c5e37,2013-10,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
3d361169f5f842c5c114647d032c7743ba8278ccca99458ad2a9f8c167a4da44,2013-10,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
